ARABIC LIGATURE SHEEN WITH YEH FINAL FORM;;FD1A;;ﴚ;;FD1A
ARABIC LETTER SAD ISOLATED FORM;;FEB9;;ﺹ;;FEB9
ARABIC LETTER SAD FINAL FORM;;FEBA;;ﺺ;;FEBA
ARABIC LETTER SAD INITIAL FORM;;FEBB;;ﺻ;;FEBB
ARABIC LETTER SAD MEDIAL FORM;;FEBC;;ﺼ;;FEBC
ARABIC MATHEMATICAL SAD;;1EE11;;𞸑;;1EE11
ARABIC MATHEMATICAL INITIAL SAD;;1EE31;;𞸱;;1EE31
ARABIC MATHEMATICAL TAILED SAD;;1EE51;;𞹑;;1EE51
ARABIC MATHEMATICAL STRETCHED SAD;;1EE71;;𞹱;;1EE71
ARABIC MATHEMATICAL LOOPED SAD;;1EE91;;𞺑;;1EE91
ARABIC MATHEMATICAL DOUBLE-STRUCK SAD;;1EEB1;;𞺱;;1EEB1
