MATHEMATICAL BOLD SMALL THETA;;1D6C9;;𝛉;;1D6C9
MATHEMATICAL BOLD THETA SYMBOL;;1D6DD;;𝛝;;1D6DD
MATHEMATICAL ITALIC CAPITAL THETA;;1D6E9;;𝛩;;1D6E9
MATHEMATICAL ITALIC CAPITAL THETA SYMBOL;;1D6F3;;𝛳;;1D6F3
MATHEMATICAL ITALIC SMALL THETA;;1D703;;𝜃;;1D703
MATHEMATICAL ITALIC THETA SYMBOL;;1D717;;𝜗;;1D717
MATHEMATICAL BOLD ITALIC CAPITAL THETA;;1D723;;𝜣;;1D723
MATHEMATICAL BOLD ITALIC CAPITAL THETA SYMBOL;;1D72D;;𝜭;;1D72D
MATHEMATICAL BOLD ITALIC SMALL THETA;;1D73D;;𝜽;;1D73D
MATHEMATICAL BOLD ITALIC THETA SYMBOL;;1D751;;𝝑;;1D751
MATHEMATICAL SANS-SERIF BOLD CAPITAL THETA;;1D75D;;𝝝;;1D75D
MATHEMATICAL SANS-SERIF BOLD CAPITAL THETA SYMBOL;;1D767;;𝝧;;1D767
MATHEMATICAL SANS-SERIF BOLD SMALL THETA;;1D777;;𝝷;;1D777
MATHEMATICAL SANS-SERIF BOLD THETA SYMBOL;;1D78B;;𝞋;;1D78B
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL THETA;;1D797;;𝞗;;1D797
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL THETA SYMBOL;;1D7A1;;𝞡;;1D7A1
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL THETA;;1D7B1;;𝞱;;1D7B1
MATHEMATICAL SANS-SERIF BOLD ITALIC THETA SYMBOL;;1D7C5;;𝟅;;1D7C5
GREEK PROSGEGRAMMENI;;1FBE;;ι;;03B9
MATHEMATICAL BOLD CAPITAL IOTA;;1D6B0;;𝚰;;1D6B0
MATHEMATICAL BOLD SMALL IOTA;;1D6CA;;𝛊;;1D6CA
MATHEMATICAL ITALIC CAPITAL IOTA;;1D6EA;;𝛪;;1D6EA
MATHEMATICAL ITALIC SMALL IOTA;;1D704;;𝜄;;1D704
